[2026-04-23 14:34:41] INFO     db — Database initialized.
[2026-04-23 14:34:42] INFO     auth — Default admin account created: 'admin'
[2026-04-23 14:35:02] INFO     db — Database initialized.
[2026-04-23 14:35:02] INFO     auth — Login successful: admin
[2026-04-23 14:35:02] INFO     db — Database initialized.
[2026-04-23 14:35:15] INFO     db — Database initialized.
[2026-04-23 14:35:26] INFO     db — Database initialized.
[2026-04-23 14:36:26] INFO     db — Database initialized.
[2026-04-23 14:36:26] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:05:41] INFO     db — Database initialized.
[2026-04-23 15:05:41] INFO     auth — Login successful: admin
[2026-04-23 15:05:51] INFO     db — Database initialized.
[2026-04-23 15:07:59] INFO     db — Database initialized.
[2026-04-23 15:08:37] INFO     db — Database initialized.
[2026-04-23 15:08:37] INFO     auth — Login successful: admin
[2026-04-23 15:08:54] INFO     db — Database initialized.
[2026-04-23 15:09:26] INFO     db — Database initialized.
[2026-04-23 15:09:26] INFO     auth — Login successful: admin
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:31:13] INFO     db — Database initialized.
[2026-04-23 15:33:12] INFO     db — Database initialized.
[2026-04-23 15:33:12] INFO     auth — Login successful: admin
[2026-04-23 15:33:13] INFO     db — Database initialized.
[2026-04-23 15:36:01] INFO     db — Database initialized.
[2026-04-23 15:45:26] DEBUG    utils.loader —   Loaded 1 pages from 17937.pdf
[2026-04-23 15:45:26] DEBUG    utils.loader —   Loaded 1 pages from 17996.pdf
[2026-04-23 15:45:26] DEBUG    utils.loader —   Loaded 1 pages from 18019.pdf
[2026-04-23 15:45:27] DEBUG    utils.loader —   Loaded 1 pages from 18021.pdf
[2026-04-23 15:45:27] DEBUG    utils.loader —   Loaded 1 pages from 18040.pdf
[2026-04-23 15:45:27] DEBUG    utils.loader —   Loaded 1 pages from 18418.pdf
[2026-04-23 15:45:27] DEBUG    utils.loader —   Loaded 1 pages from 18442.pdf
[2026-04-23 15:45:27] DEBUG    utils.loader —   Loaded 1 pages from 18443.pdf
[2026-04-23 15:45:27] DEBUG    utils.loader —   Loaded 1 pages from 18445.pdf
[2026-04-23 15:45:27] DEBUG    utils.loader —   Loaded 1 pages from 18849.pdf
[2026-04-23 15:45:27] DEBUG    utils.loader —   Loaded 1 pages from 18851.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 1 pages from 19295.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 1 pages from 19299.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 1 pages from 19384.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 1 pages from 22274.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 1 pages from 22794.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 1 pages from 22980.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 1 pages from 23474.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 1 pages from 23479.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 1 pages from 23480.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 2 pages from 23484.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 1 pages from 23488.pdf
[2026-04-23 15:45:28] DEBUG    utils.loader —   Loaded 1 pages from 24269.pdf
[2026-04-23 15:45:29] DEBUG    utils.loader —   Loaded 1 pages from 24488.pdf
[2026-04-23 15:45:29] DEBUG    utils.loader —   Loaded 1 pages from 24509.pdf
[2026-04-23 15:45:29] DEBUG    utils.loader —   Loaded 1 pages from 24577.pdf
[2026-04-23 15:45:29] DEBUG    utils.loader —   Loaded 1 pages from 24642.pdf
[2026-04-23 15:45:29] DEBUG    utils.loader —   Loaded 1 pages from 24644.pdf
[2026-04-23 15:45:29] DEBUG    utils.loader —   Loaded 1 pages from 24645.pdf
[2026-04-23 15:45:29] DEBUG    utils.loader —   Loaded 1 pages from 24646.pdf
[2026-04-23 15:45:29] DEBUG    utils.loader —   Loaded 3 pages from 24801.pdf
[2026-04-23 15:45:29] DEBUG    utils.loader —   Loaded 1 pages from 24812.pdf
[2026-04-23 15:45:30] DEBUG    utils.loader —   Loaded 1 pages from 24822.pdf
[2026-04-23 15:45:30] DEBUG    utils.loader —   Loaded 1 pages from 24829.pdf
[2026-04-23 15:45:30] DEBUG    utils.loader —   Loaded 1 pages from 24874.pdf
[2026-04-23 15:45:30] DEBUG    utils.loader —   Loaded 3 pages from 24904.pdf
[2026-04-23 15:45:30] DEBUG    utils.loader —   Loaded 1 pages from 24905.pdf
[2026-04-23 15:45:30] DEBUG    utils.loader —   Loaded 1 pages from 25385.pdf
[2026-04-23 15:45:30] DEBUG    utils.loader —   Loaded 1 pages from 25853.pdf
[2026-04-23 15:45:31] DEBUG    utils.loader —   Loaded 1 pages from 25855.pdf
[2026-04-23 15:45:31] DEBUG    utils.loader —   Loaded 1 pages from 25906.pdf
[2026-04-23 15:45:31] DEBUG    utils.loader —   Loaded 1 pages from 25916.pdf
[2026-04-23 15:45:31] DEBUG    utils.loader —   Loaded 1 pages from 26321.pdf
[2026-04-23 15:45:31] DEBUG    utils.loader —   Loaded 1 pages from 26375.pdf
[2026-04-23 15:45:31] DEBUG    utils.loader —   Loaded 1 pages from 26377.pdf
[2026-04-23 15:45:31] DEBUG    utils.loader —   Loaded 1 pages from 26386.pdf
[2026-04-23 15:45:31] DEBUG    utils.loader —   Loaded 1 pages from 26393.pdf
[2026-04-23 15:45:32] DEBUG    utils.loader —   Loaded 1 pages from 26406.pdf
[2026-04-23 15:45:32] DEBUG    utils.loader —   Loaded 1 pages from 26407.pdf
[2026-04-23 15:45:32] DEBUG    utils.loader —   Loaded 1 pages from 26468.pdf
[2026-04-23 15:45:32] DEBUG    utils.loader —   Loaded 1 pages from 26473.pdf
[2026-04-23 15:45:32] DEBUG    utils.loader —   Loaded 1 pages from 26560.pdf
[2026-04-23 15:45:32] DEBUG    utils.loader —   Loaded 1 pages from 26611.pdf
[2026-04-23 15:45:32] DEBUG    utils.loader —   Loaded 1 pages from 27123.pdf
[2026-04-23 15:45:32] DEBUG    utils.loader —   Loaded 2 pages from 27135.pdf
[2026-04-23 15:45:32] DEBUG    utils.loader —   Loaded 2 pages from 27266.pdf
[2026-04-23 15:45:33] DEBUG    utils.loader —   Loaded 2 pages from 27612.pdf
[2026-04-23 15:45:33] DEBUG    utils.loader —   Loaded 2 pages from 27755.pdf
[2026-04-23 15:45:33] DEBUG    utils.loader —   Loaded 1 pages from 28068.pdf
[2026-04-23 15:45:33] DEBUG    utils.loader —   Loaded 1 pages from 28130.pdf
[2026-04-23 15:45:33] DEBUG    utils.loader —   Loaded 1 pages from 28136.pdf
[2026-04-23 15:45:33] DEBUG    utils.loader —   Loaded 1 pages from 28139.pdf
[2026-04-23 15:45:33] DEBUG    utils.loader —   Loaded 1 pages from 28145.pdf
